1097,25,47,72
modulo,21,58,79
ways,17,60,77
large,20,96,116
count,18,88,106
digits,11,59,70
answer,13,72,85
considered,14,89,103
distinct,18,127,145
pairs,11,79,90
as,22,159,181
print,14,105,119
many,25,188,213
pair,13,98,111
define,6,46,52
four,6,48,54
asks,8,66,74
since,6,52,58
elements,10,88,98
say,7,63,70
end,10,94,104
good,7,67,74
needs,10,96,106
positions,5,48,53
a2,9,87,96
operation,10,97,107
element,5,49,54
calculate,8,80,88
nm,5,51,56
solve,6,62,68
long,6,63,69
integers,23,242,265
c,26,275,301
a1,9,96,105
less,5,54,59
takes,7,76,83
contains,15,164,179
friends,5,55,60
r,7,78,85
come,5,56,61
array,6,69,75
among,5,58,63
group,4,47,51
equals,6,71,77
now,11,131,142
different,15,180,195
painted,4,48,52
recently,6,72,78
numbers,22,265,287
set,11,134,145
formally,2,71,73
direction,2,71,73
choose,4,142,146
times,3,108,111
get,5,185,190
program,2,76,78
used,2,78,80
must,4,157,161
of,2,79,81
even,2,79,81
written,2,79,81
course,2,80,82
point,3,124,127
tree,2,85,87
path,2,90,92
moment,2,97,99
look,1,50,51
more,1,50,51
playing,1,50,51
coordinate,1,51,52
what,1,51,52
query,1,51,52
picture,1,53,54
corresponding,1,53,54
consecutive,1,54,55
connected,2,110,112
maximum,3,177,180
zero,1,60,61
side,1,60,61
coordinates,1,60,61
type,1,61,62
graph,1,62,63
queries,1,63,64
q,1,64,65
types,1,64,65
represented,1,67,68
initial,1,68,69
distance,1,70,71
v,1,75,76
put,1,80,81
line,1,83,84
row,1,88,89
amount,0,68,68
berland,0,59,59
thus,0,85,85
whether,0,64,64
values,0,82,82
known,0,52,52
start,0,64,64
table,0,62,62
