what,20,32,52
known,19,32,51
total,46,79,125
give,18,33,51
days,19,36,55
could,24,48,72
ai,48,102,150
maximum,62,132,194
end,31,68,99
needs,34,75,109
playing,18,40,58
would,30,68,98
minimum,67,152,219
amount,25,57,82
cannot,24,55,79
get,63,146,209
ith,66,153,219
letters,25,59,84
take,33,80,113
type,17,42,59
part,21,52,73
a2,24,60,84
table,18,45,63
minimal,15,38,53
place,23,59,82
whether,21,54,75
among,23,60,83
used,19,50,69
strictly,14,37,51
however,33,88,121
year,15,40,55
size,28,75,103
beginning,16,43,59
possible,95,256,351
day,39,106,145
change,18,49,67
allowed,22,60,82
test1,97,267,364
times,29,80,109
second,126,349,475
on,22,61,83
must,40,111,151
also,65,181,246
a1,25,70,95
using,21,60,81
described,22,63,85
so,26,75,101
consists,37,107,144
sum,40,116,156
left,45,132,177
then,18,106,124
along,11,65,76
point,18,107,125
rows,8,48,56
characters,8,48,56
solve,10,61,71
program,12,74,86
5,15,93,108
pairs,14,87,101
goes,10,63,73
positions,8,51,59
graph,8,51,59
0,21,135,156
i,12,78,90
consider,17,111,128
print,15,98,113
squares,7,46,53
long,9,63,72
distance,9,66,75
direction,9,66,75
rectangular,7,53,60
system,8,61,69
segment,7,54,61
4,9,70,79
tree,8,64,72
call,7,57,64
coordinates,6,49,55
common,7,58,65
whose,6,50,56
see,7,59,66
v,7,60,67
that,13,118,131
count,9,82,91
ways,8,75,83
r,9,85,94
test3,10,99,109
q,6,61,67
edges,6,64,70
answer,8,92,100
plane,4,54,58
vertex,4,54,58
edge,4,55,59
l,5,73,78
test512,3,48,51
test4,3,48,51
four,3,53,56
vertices,3,64,67
queries,1,52,53
modulo,1,71,72
1097,0,62,62
