1097,23,34,57
modulo,27,40,67
p,22,44,66
see,23,47,70
positive,49,102,151
means,24,51,75
digits,23,49,72
since,18,39,57
integer,78,175,253
could,21,48,69
assume,25,60,85
chooses,19,46,65
numbers,84,204,288
coordinates,17,42,59
5,32,81,113
x,64,163,227
times,34,87,121
3,32,84,116
large,28,74,102
now,37,98,135
a1,30,80,110
test1,108,289,397
count,32,86,118
print,29,78,107
let,20,54,74
asked,24,65,89
case,14,38,52
x1,14,38,52
when,22,60,82
sum,41,112,153
solve,19,52,71
a2,26,72,98
long,22,61,83
define,18,50,68
second,129,359,488
its,14,39,53
moment,24,67,91
even,26,74,100
b,111,316,427
exists,20,57,77
call,14,40,54
4,22,63,85
start,16,46,62
put,17,49,66
follows,20,58,78
dont,13,38,51
much,29,85,114
0,44,129,173
point,31,91,122
denote,16,47,63
cells,10,59,69
city,13,77,90
test4,8,48,56
known,8,48,56
table,8,48,56
rows,8,48,56
move,20,120,140
initially,15,91,106
already,13,79,92
using,10,62,72
ends,7,44,51
pair,16,101,117
they,11,71,82
numbered,22,147,169
way,23,155,178
strings,8,54,62
according,8,54,62
ith,30,204,234
current,8,56,64
cell,10,72,82
besides,8,58,66
want,15,109,124
work,7,51,58
characters,7,52,59
test512,6,45,51
types,8,60,68
column,6,45,51
string,14,105,119
list,6,45,51
vertices,8,61,69
unfortunately,6,46,52
order,28,215,243
corresponding,6,47,53
represented,8,63,71
queries,6,48,54
chosen,7,57,64
nm,6,51,57
give,6,52,58
berland,7,61,68
row,10,89,99
edge,5,48,53
connected,10,99,109
path,8,81,89
edges,5,51,56
vertex,5,52,57
graph,5,53,58
tree,6,69,75
roads,3,48,51
road,3,49,52
letters,2,55,57
