once,0,63,63
strings,0,99,99
starting,0,108,108
n1,0,117,117
time,0,2020,2020
u,0,62,62
together,0,73,73
required,0,109,109
assume,0,146,146
e,0,493,493
sides,0,57,57
friends,0,106,106
important,0,68,68
a1,0,160,160
vertex,0,85,85
students,0,53,53
elements,0,154,154
picture,0,71,71
you,0,584,584
test,0,51,51
5,0,163,163
interested,0,58,58
field,0,58,58
when,0,129,129
no,0,58,58
nm,0,100,100
check,0,65,65
moves,0,133,133
at,0,198,198
exist,0,69,69
single,0,129,129
an,0,164,164
1000000007,0,64,64
certain,0,68,68
defined,0,69,69
inclusive,0,72,72
ab,0,52,52
called,0,188,188
piece,0,78,78
problem,0,284,284
limit,0,2020,2020
us,0,63,63
maximum,0,319,319
j,0,147,147
inside,0,59,59
whether,0,117,117
made,0,111,111
count,0,153,153
he,0,448,448
line,0,158,158
obtained,0,51,51
change,0,134,134
teacher,0,60,60
along,0,134,134
path,0,148,148
represented,0,114,114
let,0,117,117
here,0,55,55
equals,0,129,129
never,0,70,70
simultaneously,0,53,53
consisting,0,274,274
new,0,305,305
goes,0,115,115
cell,0,136,136
sum,0,260,260
what,0,100,100
index,0,58,58
even,0,140,140
n,0,1296,1296
pass,0,56,56
second,0,769,769
consists,0,220,220
berland,0,109,109
small,0,77,77
p,0,116,116
large,0,173,173
ri,0,66,66
list,0,82,82
rectangle,0,63,63
turns,0,73,73
school,0,54,54
condition,0,75,75
every,0,263,263
string,0,186,186
digit,0,56,56
undirected,0,51,51
ti,0,55,55
program,0,134,134
to,0,236,236
segments,0,59,59
graph,0,88,88
calculate,0,145,145
whose,0,82,82
row,0,157,157
query,0,75,75
go,0,167,167
four,0,97,97
consider,0,195,195
all,0,164,164
